				Sample 1	Sample 2	Sample 3	Sample 4	Sample 5	Sample 6	Sample 7	Sample 8	Sample 9	Sample 10	Sample 11	Sample 12	Sample 13	Sample 14	
				matrix blank	STD0.05	STD0.08	STD0.12	STD0.2	STD0.75	STD2.25	matrix blank	0.4	0.2	0.15	0.1	0.05	matrix blank	
Raw.Intensity	2	Fe 239.562 {141} (Axial)	Y [cps]	35.721128215380531	326.88402902603013	458.14795374258472	714.20507565153639	1192.90871390027	4281.3593203398295	12919.437366773249	81.550713048114062	5525.27830471246	2722.7820231079149	2042.0164567925913	1516.5017326402772	720.95164300473243	45.527927568071391	
Raw.Intensity	0	Fe 240.488 {140} (Axial)	Y [cps]	23.249334664005232	264.07815047752149	381.16674991674984	599.07907007727181	1014.5537677393563	3667.1809414351392	11204.82364108713	82.490426240426359	4748.0512295763865	2381.6994035719053	1768.477355977356	1316.7082501663342	615.2883143674718	35.726463739188375	
Raw.Intensity	1	Fe 240.488 {140} (Axial)	Y [cps]	18.838298014127759	258.67569638811165	370.73754789272039	598.16345385537352	1003.609973018887	3666.7853573213388	11072.259516204165	66.744135679061742	4768.0170061235358	2353.1084391560844	1759.6718760402105	1314.4535150788893	629.46547476361707	32.624450219912092	
Raw.Intensity	2	Fe 240.488 {140} (Axial)	Y [cps]	22.611788617886077	269.86177684574909	379.75738185696196	594.67898087049252	1007.9423570167548	3657.3025987006495	11141.164152011723	62.751982540317272	4764.4768370607035	2363.5063929677358	1755.6715970417749	1297.2311075569769	622.54632406851965	29.818670527927566	
Raw.Intensity	0	Sc 424.683 {79} (Axial)	Y [cps]	38152.372338656016	38189.773218861272	38548.083166833167	37977.107897015725	38671.147311613036	38580.129005929775	38562.256444844126	38357.117882117891	38625.71960999634	38343.633379981336	38593.0944055944	38281.478709248171	37638.436231450061	38112.233865602131	
Raw.Intensity	1	Sc 424.683 {79} (Axial)	Y [cps]	37993.99198653872	38443.916183526591	38256.413459936695	37896.110084565182	38721.934229372768	38552.113526570043	38206.709173487725	38571.408936425432	38769.36484957402	38095.052994700527	38434.924439118564	38158.44900472671	38040.515964176324	38132.909336265489	
Raw.Intensity	2	Sc 424.683 {79} (Axial)	Y [cps]	37819.384746101561	38407.795752613005	38225.536142771452	37989.250066653331	38831.572066220309	38502.829835082455	38288.527511324282	38426.966713314672	38615.631656017038	38271.349432291143	38396.476697314953	38081.96929561509	38044.668149703393	38032.864406497567	
Raw.Intensity	0	Fe 259.940 {130} (Axial)	Y [cps]	32.713739188289992	367.11132741006952	523.50982350982349	818.4202637889689	1356.627690052635	4870.331967486175	14671.93328670397	90.994422244422253	6136.7217397091617	3030.7127149140342	2275.6888944388943	1705.4994178310044	786.87945032275229	43.440202927478367	
Raw.Intensity	1	Fe 259.940 {130} (Axial)	Y [cps]	36.437508330001265	360.97227775556439	514.34907546226873	813.10344253562391	1353.5733320009326	4860.5176578377468	14517.027683503025	78.6268825803013	6140.5397197816828	3021.3791120887909	2260.9097263830636	1686.170611144398	793.92853575709114	38.665783686525288	
Raw.Intensity	2	Fe 259.940 {130} (Axial)	Y [cps]	41.762461681993955	376.00276279874856	523.52654469106187	809.54434113177376	1353.3922087871824	4854.8788105947033	14629.286154409805	77.631447421031567	6131.7683373269447	3046.7319282123	2251.4449663535215	1657.1308976409439	793.88497300539893	45.889920777578027	
